T,NT,D
-0.004048633,0.004952971,-0.000904338
0.013712003,-0.00096382,-0.012748183
-0.012830359,-0.003883029,0.016713388
0.011605141,-0.009473844,-0.002131297
0.010145089,-0.001481449,-0.00866364
0.003877761,-0.000453805,-0.003423955
0.008655997,0.005634187,-0.014290184
-0.00264816,0.008202924,-0.005554764
0.018230719,-0.008919425,-0.009311295
0.016603267,-0.001352187,-0.015251079
-0.001558036,0.00756506,-0.006007024
0.009261949,-0.008464501,-0.000797448
0.025419919,0.003077463,-0.028497382
0.007660062,0.001840347,-0.00950041
